NDW:0.0
TTFW:0.8
DFPT:2.0
DFPAP:3.0
DFPMP:3.0
SEARCH_STEPS:1.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
ge-1,true,1.00,8,271,6,1,940,170
ge-2,true,1.00,11,253,9,1,1119,202
ge-3,true,1.00,7,224,6,1,889,193
ge-4,true,1.00,29,260,27,1,3793,356
ge-5,true,1.00,6,199,5,1,695,99
ge-6,true,1.00,111,263,110,4,14499,433
ge-7,true,1.00,7,217,5,1,540,124
ge-8,true,1.00,6,227,5,1,765,171
ge-9,true,1.00,10,222,9,1,1286,166
ge-10,true,1.00,7,199,6,1,869,244
ge-11,true,1.00,8,217,6,1,890,127
ge-12,true,1.00,8,240,7,1,811,436
ge-13,true,1.00,9,267,8,1,1147,215
ge-14,true,1.00,8,226,7,1,876,194
ge-15,true,1.00,6,216,5,1,785,110
ge-16,true,1.00,7,262,5,1,794,115
ge-17,true,1.00,7,243,6,1,748,116
ge-18,false,0.19,1492,56,1492,56,213716,310
ge-19,true,1.00,9,247,7,1,962,180
ge-20,true,1.00,9,232,7,1,1165,245
ge-21,true,1.00,4,201,3,1,404,129
ge-22,true,1.00,8,210,7,1,745,141
ge-23,true,1.00,29,207,28,1,3742,1437
ge-24,true,1.00,10,245,9,1,1017,114
ge-25,true,1.00,775,215,774,23,102916,1859
ge-26,true,1.00,9,209,7,1,837,208
ge-27,true,1.00,5,218,3,1,306,30
ge-28,true,1.00,7,205,5,1,648,153
ge-29,true,1.00,8,217,6,1,678,206
ge-30,true,1.00,32,248,31,1,4302,1942
ge-31,true,1.00,97,261,95,3,14044,3478
ge-32,true,1.00,6,228,4,1,613,169
ge-33,true,1.00,8,234,6,1,860,205
ge-34,true,1.00,9,216,7,1,1016,119
ge-35,true,1.00,10,256,9,1,1209,276
ge-36,true,1.00,6238,329,6237,188,856414,2790
ge-37,true,1.00,9,253,7,1,1143,476
ge-38,true,1.00,8,232,6,1,942,146
ge-39,true,1.00,5,223,4,1,527,86
ge-40,true,1.00,4,199,3,1,331,80
ge-41,true,1.00,12,232,10,1,1552,507
ge-42,true,1.00,10,220,9,1,1169,370
ge-43,true,1.00,9,240,8,1,1106,197
ge-44,true,1.00,8,222,7,1,983,255
ge-45,true,1.00,9,227,7,1,866,169
ge-46,true,1.00,14,260,12,1,1858,267
ge-47,true,1.00,12,229,10,1,1676,267
ge-48,true,1.00,14,234,12,1,1674,935
ge-49,true,1.00,5,202,3,1,342,31
ge-50,true,1.00,31,243,30,1,3508,2301
ge-51,true,1.00,10,221,9,1,1214,206
ge-52,true,1.00,9,252,7,1,1047,138
ge-53,true,1.00,4,222,3,1,314,63
ge-54,true,1.00,15,301,13,1,1613,611
ge-55,true,1.00,9,233,7,1,1203,216
ge-56,true,1.00,20,255,18,1,2546,710
ge-57,false,0.99,6555,208,6554,208,994724,1398
ge-58,true,1.00,3668,305,3666,111,512820,4475
ge-59,true,1.00,11,201,10,1,1552,187
ge-60,true,1.00,5,203,4,1,421,83
ge-61,true,1.00,5,205,4,1,580,272
ge-62,true,1.00,9,207,8,1,859,113
ge-63,true,1.00,50,218,48,2,4544,310
ge-64,true,1.00,5,238,4,1,364,55
ge-65,true,1.00,16,229,15,1,2062,262
ge-66,true,1.00,27,222,25,1,3820,1037
ge-67,true,1.00,6,235,5,1,630,133
ge-68,true,1.00,6,229,4,1,583,118
ge-69,true,1.00,6,199,5,1,566,163
ge-70,true,1.00,7,218,6,1,928,251
ge-71,true,1.00,16,238,14,1,2122,316
ge-72,true,1.00,6,272,4,1,534,54
ge-73,true,1.00,9,207,8,1,1166,187
ge-74,true,1.00,199,266,197,6,29572,2976
ge-75,true,1.00,10,252,8,1,1275,232
ge-76,true,1.00,13,225,12,1,1873,276
ge-77,true,1.00,15,238,13,1,1958,316
ge-78,true,1.00,16,247,14,1,1891,324
ge-79,true,1.00,6,223,5,1,642,135
ge-80,true,1.00,4,218,3,1,274,48
ge-81,true,1.00,4,217,2,1,264,20
ge-82,true,1.00,7,242,6,1,601,135
ge-83,true,1.00,10,257,8,1,1240,268
ge-84,true,1.00,32,222,31,1,4702,2703
ge-85,true,1.00,8,199,6,1,936,168
ge-86,true,1.00,6305,228,6304,187,919123,3610
ge-87,true,1.00,11,230,10,1,1222,253
ge-88,true,1.00,18,249,16,1,2158,342
ge-89,true,1.00,10,263,9,1,1137,392
ge-90,true,1.00,6,199,5,1,543,147
ge-91,true,1.00,8,199,7,1,936,178
ge-92,true,1.00,6,199,5,1,600,176
ge-93,true,1.00,7,213,6,1,920,254
ge-94,true,1.00,8,212,8,1,926,194
ge-95,true,1.00,9,264,7,1,871,178
ge-96,true,1.00,10,242,8,1,1250,263
ge-97,true,1.00,6,215,5,1,526,109
ge-98,true,1.00,5,199,3,1,338,123
ge-99,true,1.00,4,199,3,1,367,118
ge-100,true,1.00,4,205,3,1,282,44
