NDW:0.0
TTFW:2.0
DFPT:2.0
DFPAP:3.0
DFPMP:5.0
SEARCH_STEPS:8.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
hopper-1,true,1.00,6,424,4,1,74,3
hopper-2,true,1.00,72,410,69,3,1559,23
hopper-3,true,1.00,34,380,33,1,706,609
hopper-4,true,1.00,13,498,9,1,196,70
hopper-5,true,1.00,7,377,4,1,59,2
hopper-6,true,1.00,6,409,3,1,64,5
hopper-7,true,1.00,21,622,16,1,374,183
hopper-8,true,1.00,6,381,3,1,58,2
hopper-9,true,1.00,5,337,3,1,50,2
hopper-10,true,1.00,6,339,4,1,49,2
hopper-11,true,1.00,5,337,3,1,51,2
hopper-12,true,1.00,7,442,5,1,71,4
hopper-13,true,1.00,8,471,5,1,92,22
hopper-14,true,1.00,5,340,3,1,56,2
hopper-15,true,1.00,6,388,3,1,63,4
hopper-16,true,1.00,10,448,7,1,115,17
hopper-17,true,1.00,6,378,3,1,60,5
hopper-18,true,1.00,5,354,3,1,55,5
hopper-19,true,1.00,6,402,3,1,63,4
hopper-20,true,1.00,9,472,6,1,116,26
hopper-21,true,1.00,15,625,11,1,247,49
hopper-22,true,1.00,16,520,12,1,294,122
hopper-23,true,1.00,5,305,3,1,48,1
hopper-24,true,1.00,6,378,3,1,59,4
hopper-25,true,1.00,10,473,7,1,127,28
hopper-26,true,1.00,5,378,3,1,61,5
hopper-27,true,1.00,6,378,3,1,59,1
hopper-28,true,1.00,43,516,39,2,897,575
hopper-29,true,1.00,6,366,3,1,55,3
hopper-30,true,1.00,7,434,4,1,74,11
hopper-31,true,1.00,7,399,4,1,64,2
hopper-32,true,1.00,5,378,3,1,57,4
hopper-33,true,1.00,6,386,3,1,58,3
hopper-34,true,1.00,17,761,12,1,262,43
hopper-35,true,1.00,8,480,4,1,77,6
hopper-36,true,1.00,5,345,3,1,57,4
hopper-37,true,1.00,22,671,17,1,384,178
hopper-38,true,1.00,7,405,4,1,63,6
hopper-39,true,1.00,9,466,5,1,106,20
hopper-40,true,1.00,7,405,4,1,64,5
hopper-41,true,1.00,6,382,4,1,62,3
hopper-42,true,1.00,5,324,2,1,46,2
hopper-43,true,1.00,156,545,152,5,3147,386
hopper-44,true,1.00,6,339,3,1,52,2
hopper-45,true,1.00,33,550,30,1,634,474
hopper-46,true,1.00,9,450,5,1,94,19
hopper-47,true,1.00,8,422,5,1,107,35
hopper-48,true,1.00,6,405,4,1,77,15
hopper-49,true,1.00,9,490,5,1,94,33
hopper-50,true,1.00,76,393,74,3,1611,299
hopper-51,true,1.00,33,622,29,1,665,240
hopper-52,true,1.00,6,404,4,1,64,6
hopper-53,true,1.00,50,545,46,2,944,79
hopper-54,true,1.00,6,372,3,1,56,1
hopper-55,true,1.00,7,435,4,1,69,5
hopper-56,true,1.00,6,361,3,1,55,4
hopper-57,true,1.00,7,409,4,1,64,5
hopper-58,true,1.00,9,398,6,1,120,71
hopper-59,true,1.00,7,403,4,1,73,17
hopper-60,true,1.00,7,427,4,1,82,13
hopper-61,true,1.00,48,573,44,2,894,85
hopper-62,true,1.00,6,370,3,1,58,2
hopper-63,true,1.00,6,372,3,1,60,4
hopper-64,true,1.00,6,337,3,1,52,2
hopper-65,true,1.00,5,323,2,1,50,2
hopper-66,true,1.00,14,429,11,1,245,180
hopper-67,true,1.00,6,364,4,1,59,5
hopper-68,true,1.00,7,397,6,1,65,3
hopper-69,true,1.00,8,423,5,1,97,23
hopper-70,true,1.00,6,394,3,1,63,7
hopper-71,true,1.00,7,370,4,1,58,4
hopper-72,true,1.00,89,473,85,3,1772,268
hopper-73,true,1.00,6,373,3,1,56,2
hopper-74,true,1.00,7,376,5,1,83,22
hopper-75,true,1.00,5,329,3,1,53,4
hopper-76,true,1.00,34,529,30,1,625,191
hopper-77,true,1.00,6,434,3,1,68,2
hopper-78,true,1.00,5,346,3,1,50,2
hopper-79,true,1.00,6,346,4,1,55,2
hopper-80,true,1.00,6,337,3,1,47,1
hopper-81,true,1.00,18106,976,18103,548,372025,700
hopper-82,true,1.00,24,677,19,1,405,186
hopper-83,true,1.00,6,402,3,1,58,4
hopper-84,true,1.00,6,340,3,1,60,6
hopper-85,true,1.00,6,345,3,1,55,9
hopper-86,true,1.00,5,345,3,1,55,6
hopper-87,true,1.00,6,410,5,1,65,5
hopper-88,true,1.00,7,385,4,1,59,5
hopper-89,true,1.00,8,454,4,1,84,13
hopper-90,true,1.00,6,339,3,1,52,2
hopper-91,true,1.00,6,426,3,1,65,2
hopper-92,true,1.00,6,394,3,1,63,3
hopper-93,true,1.00,6,388,3,1,60,2
hopper-94,true,1.00,11,530,8,1,147,31
hopper-95,true,1.00,7,404,4,1,61,5
hopper-96,true,1.00,6,329,4,1,53,4
hopper-97,true,1.00,7,424,4,1,70,5
hopper-98,true,1.00,6,394,4,1,70,7
hopper-99,true,1.00,172,442,169,6,3563,593
hopper-100,true,1.00,7,442,5,1,70,5
