NDW:0.0
TTFW:2.0
DFPT:2.0
DFPAP:3.0
DFPMP:50.0
SEARCH_STEPS:20.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,false,0.57,1600,999,1591,999,14312,36
Krys-2,false,0.57,1755,999,1751,999,16890,133
Krys-3,false,0.30,276,164,275,164,2870,36
Krys-4,false,0.65,2045,502,2042,502,19038,160
Krys-5,false,0.70,2294,418,2290,418,22130,195
Krys-6,false,0.39,457,999,450,999,4846,10
Krys-7,false,0.74,8769,599,8766,599,65213,82
Krys-8,false,0.45,19929,728,19928,728,147409,231
Krys-9,false,0.59,3575,456,3573,456,32470,114
Krys-10,false,0.18,463,999,458,999,3715,10
Krys-11,false,0.84,8423,885,8418,885,66637,101
Krys-12,false,0.48,537,403,534,403,5645,11
Krys-13,false,0.55,212,216,210,216,2309,10
Krys-14,false,0.70,6288,999,6280,999,57437,94
Krys-15,false,0.80,2050,560,2048,560,18038,16
Krys-16,false,0.31,1871,454,1865,454,16545,90
Krys-17,false,0.79,4959,846,4956,846,43855,129
Krys-18,false,0.45,1550,314,1547,314,13033,69
Krys-19,false,0.18,121,100,121,100,1321,14
Krys-20,false,0.18,1143,999,1141,999,10493,18
Krys-21,false,0.41,1261,999,1257,999,13647,19
Krys-22,false,0.31,3824,999,3814,999,40624,85
Krys-23,false,0.36,2608,999,2602,999,23050,19
Krys-24,false,0.31,1014,300,1012,300,10768,63
Krys-25,false,0.18,406,999,401,999,3510,11
Krys-26,false,0.69,1564,334,1559,334,16433,205
Krys-27,false,0.58,2640,522,2637,522,23068,18
Krys-28,false,0.18,1937,999,1934,999,16185,40
Krys-29,false,0.18,1143,999,1135,999,10493,18
Krys-30,false,0.18,1144,999,1137,999,10493,18
Krys-31,false,0.67,2048,999,2038,999,18825,187
Krys-32,false,0.36,1389,544,1378,544,13067,19
Krys-33,false,0.96,2370,797,2367,797,22829,105
Krys-34,false,0.70,5419,795,5414,795,53168,209
Krys-35,false,0.37,2275,999,2269,999,22819,29
Krys-36,false,0.28,753,999,751,999,7452,29
Krys-37,false,0.21,127,87,127,87,1434,21
Krys-38,false,0.18,1944,999,1937,999,16185,40
Krys-39,false,0.24,167,136,167,136,1892,12
Krys-40,false,0.45,797,999,787,999,7820,11
Krys-41,false,0.28,1765,999,1762,999,17686,21
Krys-42,false,0.78,3668,498,3660,498,30810,109
Krys-43,false,0.48,24088,999,24087,999,180073,186
Krys-44,false,0.15,1552,999,1551,999,13581,15
Krys-45,false,0.81,4855,598,4850,598,37007,116
Krys-46,false,0.46,1840,999,1835,999,19071,21
Krys-47,false,0.64,3572,944,3569,944,30588,38
Krys-48,false,0.18,122,100,122,100,1321,14
Krys-49,false,0.60,8437,999,8432,999,85251,16
Krys-50,false,0.46,600,414,598,414,7611,33
Krys-51,true,1.00,2819,978,2809,959,29414,60
Krys-52,false,0.18,1998,999,1992,999,16185,40
Krys-53,false,0.60,1341,999,1331,999,12444,32
Krys-54,false,0.18,1070,999,1063,999,10084,11
Krys-55,false,0.47,837,254,835,254,7559,31
Krys-56,false,0.35,223,215,222,215,2472,9
Krys-57,false,0.31,77,89,75,89,916,9
Krys-58,false,0.65,1058,638,1054,638,11005,81
Krys-59,false,0.38,3238,999,3235,999,27340,18
Krys-60,false,0.43,1312,344,1309,344,13341,67
Krys-61,false,0.25,1651,999,1643,999,15531,23
Krys-62,false,0.18,482,999,474,999,3715,10
Krys-63,false,0.18,1080,999,1075,999,10084,11
Krys-64,false,0.23,189,183,188,183,1990,8
Krys-65,false,0.52,2013,355,2012,355,17429,19
Krys-66,false,0.28,14105,999,14103,999,104699,218
Krys-67,false,0.36,1392,544,1386,544,13067,19
Krys-68,false,0.70,6494,367,6492,367,48658,212
Krys-69,false,0.36,752,999,747,999,7580,17
Krys-70,false,0.37,864,999,855,999,7509,19
Krys-71,false,0.28,3141,999,3136,999,31698,32
Krys-72,false,0.36,754,999,744,999,7580,17
Krys-73,false,0.31,355,340,353,340,4104,15
Krys-74,false,0.65,4225,482,4224,482,36589,185
Krys-75,false,0.24,618,168,617,168,5198,9
Krys-76,false,0.48,1238,492,1235,492,12937,19
Krys-77,false,0.46,1089,228,1084,228,9286,45
Krys-78,false,0.28,991,264,988,264,9530,90
Krys-79,false,0.36,756,186,755,186,6264,46
Krys-80,false,0.70,6140,858,6131,858,47871,190
Krys-81,false,0.35,701,159,699,159,5807,23
Krys-82,false,0.49,12662,999,12655,999,101295,26
Krys-83,false,0.34,352,327,347,327,4112,15
Krys-84,false,0.74,10101,994,10092,994,81491,236
Krys-85,false,0.18,1649,999,1643,999,14169,20
Krys-86,false,0.64,1635,309,1633,309,15650,69
Krys-87,false,0.73,1358,360,1357,360,11189,56
Krys-88,false,0.72,5083,712,5080,712,48492,145
Krys-89,false,0.52,1266,410,1263,410,12974,18
Krys-90,false,0.66,4623,453,4618,453,39679,130
Krys-91,false,0.41,1970,432,1968,432,17263,90
Krys-92,false,0.18,1937,999,1932,999,16185,40
Krys-93,true,1.00,3446,641,3438,562,33573,199
Krys-94,false,0.52,2512,999,2509,999,23122,40
Krys-95,false,0.41,1116,321,1115,321,11402,82
Krys-96,false,0.69,3672,365,3669,365,32639,115
Krys-97,false,0.60,7959,999,7959,999,65708,38
Krys-98,false,0.10,174,130,173,130,1736,15
Krys-99,false,0.46,5083,999,5078,999,40930,26
Krys-100,false,0.41,831,999,824,999,8573,28
