NDW:0.0
TTFW:1.8
DFPT:2.0
DFPAP:3.0
DFPMP:20.0
SEARCH_STEPS:20.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
notch-1,false,0.62,13761,604,13760,604,110634,212
notch-2,false,0.29,321,190,319,190,3210,102
notch-3,false,0.74,457,234,457,234,4746,79
notch-4,false,0.62,497,166,496,166,4342,6
notch-5,false,0.72,4122,846,4117,846,38898,138
notch-6,true,1.00,193,291,191,252,2328,11
notch-7,true,1.00,9443,467,9441,451,84285,267
notch-8,false,0.85,14008,999,14001,999,117487,262
notch-9,false,0.28,701,72,701,72,5435,46
notch-10,false,0.72,248,262,247,262,2693,24
notch-11,false,0.81,401,323,397,323,4144,18
notch-12,false,0.52,3125,276,3124,276,28790,201
notch-13,true,1.00,1745,513,1743,461,16023,75
notch-14,false,0.54,1419,240,1417,240,15163,93
notch-15,false,0.80,645,211,644,211,5841,8
notch-16,false,0.18,45,49,44,49,403,9
notch-17,false,0.52,89,120,88,120,927,7
notch-18,false,0.11,57,32,57,32,392,10
notch-19,false,0.88,3974,992,3967,992,40922,87
notch-20,true,1.00,989,480,988,367,9481,6
notch-21,true,1.00,1506,476,1503,348,15619,104
notch-22,false,0.67,25198,973,25197,973,191822,235
notch-23,false,0.77,516,318,514,318,4271,84
notch-24,true,1.00,6104,504,6103,333,57440,220
notch-25,false,0.77,1118,738,1108,738,11338,35
notch-26,false,0.58,1852,182,1851,182,14758,111
notch-27,false,0.10,44,29,44,29,314,10
notch-28,false,0.18,32,47,30,47,280,8
notch-29,true,1.00,8094,997,8083,911,67514,146
notch-30,true,1.00,1931,417,1928,267,19428,70
notch-31,false,0.81,6205,793,6198,793,56025,238
notch-32,true,1.00,2370,402,2365,364,20655,99
notch-33,false,0.56,1073,999,1068,999,12083,83
notch-34,false,0.38,7107,276,7107,276,55658,152
notch-35,false,0.33,968,107,968,107,6785,119
notch-36,false,0.23,57,63,57,63,522,11
notch-37,false,0.49,216,185,215,185,1975,14
notch-38,true,1.00,3829,775,3827,745,39227,162
notch-39,true,1.00,3934,488,3930,457,34684,175
notch-40,false,0.76,6616,999,6610,999,65454,141
notch-41,false,0.37,2243,179,2242,179,20451,118
notch-42,false,0.18,43,47,43,47,403,7
notch-43,true,1.00,5722,804,5715,759,55196,221
notch-44,true,1.00,3038,526,3029,399,26163,104
notch-45,false,0.79,10477,520,10475,520,92061,239
notch-46,false,0.43,735,226,734,226,6857,22
notch-47,true,1.00,409,341,408,305,4342,24
notch-48,false,0.80,2068,999,2064,999,18730,108
notch-49,false,0.77,13777,765,13771,765,125145,279
notch-50,false,0.72,1542,245,1541,245,13003,196
notch-51,true,1.00,596,404,594,311,5918,46
notch-52,false,0.69,2628,349,2627,349,26595,161
notch-53,false,0.71,6928,999,6927,999,70905,189
notch-54,false,0.18,47,49,47,49,431,11
notch-55,true,1.00,252,340,249,302,2770,46
notch-56,false,0.32,57,81,57,81,484,10
notch-57,false,0.85,270,292,268,292,2892,23
notch-58,false,0.16,122,82,122,82,1255,32
notch-59,true,1.00,829,500,827,420,8033,46
notch-60,false,0.73,166,258,164,258,2004,10
notch-61,false,0.18,51,46,50,46,523,8
notch-62,false,0.46,340,238,337,238,3227,8
notch-63,false,0.35,171,121,170,121,1437,35
notch-64,false,0.28,177,108,175,108,1451,7
notch-65,false,0.12,53,34,53,34,359,12
notch-66,true,1.00,1092,439,1087,384,10794,46
notch-67,true,1.00,1134,365,1132,260,10359,64
notch-68,false,0.55,3938,995,3934,995,41025,64
notch-69,false,0.34,120,121,120,121,1217,25
notch-70,false,0.65,1926,282,1923,282,17422,42
notch-71,false,0.59,98,158,97,158,1132,11
notch-72,true,1.00,5169,613,5165,571,45388,220
notch-73,false,0.18,73,72,72,72,687,7
notch-74,true,1.00,99,921,93,92,972,62
notch-75,false,0.27,51,66,51,66,505,6
notch-76,true,1.00,341,859,336,292,3611,50
notch-77,false,0.25,217,88,217,88,1581,13
notch-78,false,0.92,2714,441,2714,441,23692,100
notch-79,true,1.00,417,319,416,263,4721,109
notch-80,false,0.55,7164,677,7158,677,67763,274
notch-81,false,0.96,693,558,691,558,6846,30
notch-82,true,1.00,307,395,306,327,3351,6
notch-83,false,0.55,2497,521,2495,521,26839,195
notch-84,true,1.00,13970,605,13968,580,105275,181
notch-85,true,1.00,1426,391,1422,364,13540,111
notch-86,false,0.79,5766,365,5760,365,53333,230
notch-87,false,0.17,36,47,36,47,309,5
notch-88,false,0.62,166,207,164,207,1735,9
notch-89,false,0.40,3453,269,3452,269,21764,131
notch-90,true,1.00,472,385,471,339,4828,26
notch-91,true,1.00,251,449,249,366,3002,17
notch-92,true,1.00,182,292,181,262,2014,92
notch-93,false,0.61,2812,226,2812,226,23691,9
notch-94,false,0.39,431,167,431,167,3838,13
notch-95,false,0.73,22048,981,22043,981,192334,239
notch-96,false,0.24,116,97,114,97,1147,9
notch-97,false,0.52,308,263,306,263,2799,41
notch-98,true,1.00,417,455,412,425,4528,16
notch-99,false,0.74,3371,999,3362,999,34804,73
notch-100,true,1.00,980,478,976,228,9286,146
