NDW:0.0
TTFW:1.8
DFPT:2.0
DFPAP:3.0
DFPMP:3.0
SEARCH_STEPS:20.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
notchParamRand-1,true,1.00,23115,942,23114,763,167548,275
notchParamRand-2,true,1.00,104,375,102,4,707,30
notchParamRand-3,false,0.27,2706,95,2706,95,17555,200
notchParamRand-4,false,0.20,227,117,225,117,1823,14
notchParamRand-5,true,1.00,20,483,17,1,151,44
notchParamRand-6,true,1.00,9107,495,9106,313,73309,183
notchParamRand-7,true,1.00,138,438,135,6,1056,8
notchParamRand-8,true,1.00,1263,463,1260,39,8537,44
notchParamRand-9,true,1.00,11967,723,11965,490,90189,189
notchParamRand-10,false,0.12,102,43,102,43,939,8
notchParamRand-11,true,1.00,8,493,5,1,41,13
notchParamRand-12,true,1.00,2883,459,2881,147,19897,98
notchParamRand-13,true,1.00,1600,462,1598,410,14439,87
notchParamRand-14,false,0.83,22279,975,22274,975,176785,225
notchParamRand-15,true,1.00,1004,534,1000,62,8451,130
notchParamRand-16,true,1.00,114,858,109,15,762,88
notchParamRand-17,true,1.00,23,613,20,5,172,18
notchParamRand-18,false,0.19,3773,364,3771,364,27159,172
notchParamRand-19,false,0.41,28203,987,28203,987,213837,208
notchParamRand-20,true,1.00,338,520,336,256,3226,33
notchParamRand-21,true,1.00,27,434,24,14,231,10
notchParamRand-22,true,1.00,340,390,338,266,3761,9
notchParamRand-23,false,0.64,10487,558,10485,558,87827,198
notchParamRand-24,true,1.00,39,484,36,14,277,6
notchParamRand-25,true,1.00,8,523,5,1,40,8
notchParamRand-26,false,0.23,405,172,404,172,3687,15
notchParamRand-27,true,1.00,434,382,432,14,3045,14
notchParamRand-28,true,1.00,3084,403,3082,111,28496,242
notchParamRand-29,true,1.00,30,294,28,19,244,8
notchParamRand-30,false,0.50,221,236,218,236,2060,12
notchParamRand-31,true,1.00,1279,559,1275,141,11548,216
notchParamRand-32,true,1.00,20,506,17,2,168,27
notchParamRand-33,true,1.00,1560,534,1557,391,16234,134
notchParamRand-34,true,1.00,16222,716,16221,527,131134,261
notchParamRand-35,true,1.00,5716,493,5715,302,47675,259
notchParamRand-36,true,1.00,7,554,4,1,33,9
notchParamRand-37,true,1.00,9,562,6,1,46,6
notchParamRand-38,true,1.00,6701,680,6696,623,58001,186
notchParamRand-39,true,1.00,1184,474,1179,421,12863,78
notchParamRand-40,false,0.30,7697,290,7696,290,56475,234
notchParamRand-41,true,1.00,20,946,14,1,85,11
notchParamRand-42,true,1.00,702,481,696,272,7821,34
notchParamRand-43,true,1.00,5,328,3,1,18,1
notchParamRand-44,true,1.00,7,351,5,1,39,15
notchParamRand-45,true,1.00,9,423,6,2,45,11
notchParamRand-46,false,0.40,5918,204,5918,204,42977,189
notchParamRand-47,true,1.00,13248,648,13245,412,121438,304
notchParamRand-48,true,1.00,16082,807,16078,727,149314,157
notchParamRand-49,true,1.00,8699,654,8693,495,85541,207
notchParamRand-50,true,1.00,363,527,360,296,3521,23
notchParamRand-51,true,1.00,8,419,5,1,39,5
notchParamRand-52,false,0.78,21388,893,21385,893,162161,217
notchParamRand-53,false,0.81,7581,1017,7573,1017,79568,291
notchParamRand-54,false,0.22,559,150,559,150,4368,31
notchParamRand-55,true,1.00,922,504,920,400,9061,82
notchParamRand-56,true,1.00,14037,990,14034,608,101431,228
notchParamRand-57,false,0.86,13684,999,13677,999,129133,207
notchParamRand-58,true,1.00,4848,345,4846,185,47439,270
notchParamRand-59,true,1.00,565,839,560,17,4229,199
notchParamRand-60,true,1.00,9802,701,9800,331,70971,157
notchParamRand-61,true,1.00,6628,374,6627,295,53185,227
notchParamRand-62,true,1.00,3701,554,3699,176,35900,207
notchParamRand-63,true,1.00,1129,315,1125,160,12233,129
notchParamRand-64,true,1.00,24,371,21,15,179,4
notchParamRand-65,false,0.34,297,227,296,227,2514,7
notchParamRand-66,false,0.11,204,101,203,101,1479,11
notchParamRand-67,true,1.00,31,602,27,7,209,62
notchParamRand-68,true,1.00,2661,451,2660,297,25900,253
notchParamRand-69,true,1.00,85,973,79,3,525,69
notchParamRand-70,true,1.00,1171,425,1169,275,10640,51
notchParamRand-71,true,1.00,1766,731,1763,94,16674,200
notchParamRand-72,true,1.00,11,612,7,1,63,20
notchParamRand-73,true,1.00,10,568,6,1,47,7
notchParamRand-74,true,1.00,4,294,2,1,16,1
notchParamRand-75,true,1.00,5,302,3,1,17,1
notchParamRand-76,true,1.00,1127,679,1124,264,10887,75
notchParamRand-77,true,1.00,16170,991,16168,814,128955,232
notchParamRand-78,true,1.00,6317,413,6316,225,52766,271
notchParamRand-79,true,1.00,55,501,51,14,379,21
notchParamRand-80,true,1.00,4,337,2,1,18,1
notchParamRand-81,true,1.00,22,474,19,1,145,32
notchParamRand-82,true,1.00,6481,514,6477,353,57403,174
notchParamRand-83,true,1.00,9814,691,9812,559,92028,253
notchParamRand-84,true,1.00,9,398,6,1,48,17
notchParamRand-85,true,1.00,4,294,2,1,16,1
notchParamRand-86,true,1.00,1161,419,1159,301,10834,97
notchParamRand-87,false,0.19,288,84,288,84,2197,47
notchParamRand-88,true,1.00,25,945,19,1,130,43
notchParamRand-89,true,1.00,21,684,17,7,131,23
notchParamRand-90,true,1.00,6872,499,6870,217,46695,177
notchParamRand-91,true,1.00,5,305,3,1,17,1
notchParamRand-92,true,1.00,7519,534,7517,417,62704,250
notchParamRand-93,true,1.00,7,347,5,1,39,17
notchParamRand-94,true,1.00,6980,906,6978,855,70069,244
notchParamRand-95,true,1.00,1482,334,1481,215,15664,189
notchParamRand-96,true,1.00,2171,927,2168,173,14978,172
notchParamRand-97,true,1.00,16631,963,16627,881,123997,205
notchParamRand-98,true,1.00,51,901,46,2,306,37
notchParamRand-99,true,1.00,2391,983,2385,78,17951,199
notchParamRand-100,true,1.00,9120,934,9115,877,79203,186
