NDW:0.0
TTFW:0.2
DFPT:2.0
DFPAP:3.0
DFPMP:7.0
SEARCH_STEPS:5.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
ore-1,true,1.00,10,660,5,1,181,9
ore-2,true,1.00,8,545,4,1,148,11
ore-3,true,1.00,9,578,6,1,191,24
ore-4,true,1.00,2193,729,2189,67,69801,728
ore-5,true,1.00,16,637,12,1,453,200
ore-6,true,1.00,8,557,5,1,150,10
ore-7,true,1.00,8,509,5,1,153,14
ore-8,true,1.00,7,529,4,1,134,7
ore-9,true,1.00,8,505,5,1,150,23
ore-10,true,1.00,12,584,9,1,286,116
ore-11,true,1.00,11,638,7,1,211,14
ore-12,true,1.00,13,647,9,1,287,59
ore-13,true,1.00,11858,776,11855,363,450900,952
ore-14,true,1.00,9,523,6,1,171,37
ore-15,true,1.00,30,623,26,1,859,277
ore-16,true,1.00,24,701,19,1,630,203
ore-17,true,1.00,10,539,6,1,196,58
ore-18,true,1.00,11,669,6,1,209,59
ore-19,true,1.00,8,560,4,1,162,14
ore-20,true,1.00,15,616,11,1,329,78
ore-21,true,1.00,8,579,5,1,158,19
ore-22,true,1.00,8,538,5,1,161,10
ore-23,true,1.00,10,600,7,1,183,22
ore-24,true,1.00,8,512,4,1,162,18
ore-25,true,1.00,10,522,7,1,216,28
ore-26,true,1.00,10,556,6,1,200,26
ore-27,true,1.00,8,500,5,1,151,14
ore-28,true,1.00,9,512,6,1,178,33
ore-29,true,1.00,20,599,16,1,461,223
ore-30,true,1.00,8,533,5,1,163,12
ore-31,true,1.00,10,584,6,1,218,27
ore-32,true,1.00,14,696,10,1,316,89
ore-33,true,1.00,8,521,4,1,136,8
ore-34,true,1.00,3284,648,3281,100,102437,601
ore-35,true,1.00,9,561,5,1,170,10
ore-36,true,1.00,8,521,5,1,154,19
ore-37,true,1.00,9,526,6,1,172,27
ore-38,true,1.00,8,480,5,1,133,9
ore-39,true,1.00,9,544,5,1,138,5
ore-40,true,1.00,13,682,9,1,310,56
ore-41,true,1.00,56,647,51,2,1780,318
ore-42,true,1.00,12,640,8,1,232,42
ore-43,true,1.00,8,601,4,1,149,7
ore-44,true,1.00,10,585,6,1,225,40
ore-45,true,1.00,21,624,17,1,508,251
ore-46,true,1.00,9,469,6,1,203,60
ore-47,true,1.00,9,601,6,1,202,25
ore-48,true,1.00,9,518,5,1,153,13
ore-49,true,1.00,12,574,8,1,275,70
ore-50,true,1.00,9,583,5,1,176,13
ore-51,true,1.00,12,627,8,1,241,24
ore-52,true,1.00,16,616,12,1,399,82
ore-53,true,1.00,10,543,6,1,193,40
ore-54,true,1.00,13,560,9,1,288,49
ore-55,true,1.00,9,489,6,1,157,35
ore-56,true,1.00,13,630,9,1,304,87
ore-57,true,1.00,19,625,15,1,471,243
ore-58,true,1.00,932,540,929,29,34808,45
ore-59,true,1.00,70,742,65,2,2218,817
ore-60,true,1.00,11,565,7,1,222,60
ore-61,true,1.00,8,516,4,1,143,9
ore-62,true,1.00,9,534,6,1,176,55
ore-63,true,1.00,100,768,95,3,3092,509
ore-64,true,1.00,7,517,4,1,127,5
ore-65,true,1.00,11,560,7,1,227,29
ore-66,true,1.00,27,623,23,1,651,469
ore-67,true,1.00,7,502,4,1,144,18
ore-68,true,1.00,9,441,6,1,185,26
ore-69,true,1.00,17,625,13,1,445,144
ore-70,true,1.00,2380,648,2376,74,78564,806
ore-71,true,1.00,12,695,8,1,263,18
ore-72,true,1.00,9,529,5,1,158,39
ore-73,true,1.00,23,870,17,1,595,135
ore-74,true,1.00,1683,847,1678,51,48172,743
ore-75,true,1.00,17,779,12,1,434,115
ore-76,true,1.00,8,514,4,1,144,9
ore-77,true,1.00,12,689,7,1,220,26
ore-78,true,1.00,8,522,4,1,137,8
ore-79,true,1.00,7,513,4,1,130,8
ore-80,true,1.00,36,776,31,1,1077,537
ore-81,true,1.00,9,565,5,1,168,12
ore-82,true,1.00,20,745,15,1,541,122
ore-83,true,1.00,95,867,91,3,3124,247
ore-84,true,1.00,10,618,6,1,221,79
ore-85,true,1.00,9,565,6,1,157,11
ore-86,true,1.00,10,620,6,1,182,11
ore-87,true,1.00,8,478,5,1,157,21
ore-88,true,1.00,12,588,8,1,250,67
ore-89,true,1.00,8,514,5,1,152,17
ore-90,false,0.50,9174,293,9174,293,350712,928
ore-91,true,1.00,27,607,24,1,858,469
ore-92,true,1.00,8,521,5,1,150,16
ore-93,true,1.00,18,658,14,1,414,247
ore-94,true,1.00,15,698,11,1,336,112
ore-95,true,1.00,7294,726,7291,222,193755,640
ore-96,true,1.00,20,740,17,1,478,292
ore-97,true,1.00,8,535,5,1,154,13
ore-98,true,1.00,13,620,9,1,264,49
ore-99,true,1.00,19,762,14,1,470,297
ore-100,true,1.00,26,770,21,1,783,288
