NDW:0.0
TTFW:1.6
DFPT:2.0
DFPAP:3.0
DFPMP:0.0
SEARCH_STEPS:4.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,28,469,9,1,128,6
Mario-2,true,1.00,789,399,775,22,4403,203
Mario-3,true,1.00,22,330,16,1,185,13
Mario-4,true,1.00,91,582,79,2,718,138
Mario-5,true,1.00,329,597,302,9,638,23
Mario-6,true,1.00,562,383,555,16,10154,959
Mario-7,true,1.00,36,549,32,1,279,80
Mario-8,true,1.00,1684,673,1600,50,29294,729
Mario-9,true,1.00,358,444,315,10,702,29
Mario-10,true,1.00,43,402,22,1,356,58
Mario-11,true,1.00,405,580,383,12,2744,108
Mario-12,true,1.00,39,881,22,1,544,172
Mario-13,true,1.00,7,373,4,1,214,36
Mario-14,true,1.00,20,525,14,1,157,12
Mario-15,true,1.00,37,993,19,1,486,109
