NDW:0.0
TTFW:1.4
DFPT:2.0
DFPAP:3.0
DFPMP:2.0
SEARCH_STEPS:1.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternCount-1,false,0.93,16127,500,16127,500,1029776,812
patternCount-2,true,1.00,28,447,16,1,872,94
patternCount-3,true,1.00,15625,502,15623,472,938880,1041
patternCount-4,true,1.00,44,469,32,1,1785,449
patternCount-5,true,1.00,81,484,68,2,4077,935
patternCount-6,true,1.00,32,488,23,1,1027,96
patternCount-7,true,1.00,43,469,33,1,1763,372
patternCount-8,true,1.00,12353,421,12352,374,834617,702
patternCount-9,true,1.00,33,425,21,1,1284,215
patternCount-10,true,1.00,24,425,14,1,723,146
patternCount-11,true,1.00,16518,590,16514,500,1076297,901
patternCount-12,true,1.00,2981,476,2973,90,205195,2272
patternCount-13,true,1.00,25,368,17,1,765,61
patternCount-14,true,1.00,39,432,29,1,1506,241
patternCount-15,true,1.00,41,500,30,1,1596,342
patternCount-16,true,1.00,38,460,26,1,1482,148
patternCount-17,true,1.00,31,469,23,1,1049,141
patternCount-18,true,1.00,28,422,20,1,917,96
patternCount-19,true,1.00,39,448,27,1,1684,703
patternCount-20,true,1.00,44,525,36,1,1804,266
patternCount-21,true,1.00,41,493,30,1,1631,394
patternCount-22,true,1.00,1168,490,1158,35,77425,517
patternCount-23,false,0.71,10638,334,10638,334,716296,673
patternCount-24,true,1.00,13004,447,13002,394,875216,1667
patternCount-25,true,1.00,3823,494,3815,116,260115,255
patternCount-26,true,1.00,26,414,17,1,865,89
patternCount-27,true,1.00,43,472,33,1,1839,349
patternCount-28,true,1.00,37,526,29,1,1387,251
patternCount-29,true,1.00,40,494,31,1,1674,550
patternCount-30,true,1.00,2549,561,2538,77,167902,1009
patternCount-31,true,1.00,39,465,31,1,1598,290
patternCount-32,true,1.00,36,442,27,1,1460,567
patternCount-33,true,1.00,11332,429,11329,343,759313,496
patternCount-34,true,1.00,43,425,32,1,1990,523
patternCount-35,true,1.00,411,547,398,12,25726,662
patternCount-36,true,1.00,10229,437,10227,310,670603,1773
patternCount-37,true,1.00,31,344,21,1,1221,545
patternCount-38,true,1.00,3699,380,3694,112,236335,1252
patternCount-39,true,1.00,2024,486,2015,61,135221,2245
patternCount-40,true,1.00,14229,518,14226,430,898722,553
patternCount-41,true,1.00,43,461,31,1,1903,314
patternCount-42,true,1.00,35,475,26,1,1294,299
patternCount-43,true,1.00,38,512,27,1,1395,331
patternCount-44,true,1.00,42,466,33,1,1773,634
patternCount-45,true,1.00,234,486,223,7,13724,426
patternCount-46,true,1.00,38,461,23,1,1468,384
patternCount-47,true,1.00,39,474,26,1,1608,348
patternCount-48,true,1.00,35,458,23,1,1357,170
patternCount-49,true,1.00,32,436,21,1,1177,65
patternCount-50,true,1.00,8972,508,8967,271,589423,317
patternCount-51,true,1.00,8303,447,8296,251,539442,1392
patternCount-52,true,1.00,30,452,22,1,1054,54
patternCount-53,true,1.00,13080,491,13077,395,825110,960
patternCount-54,true,1.00,47,540,38,1,1996,316
patternCount-55,true,1.00,13295,451,13292,403,926308,1031
patternCount-56,true,1.00,33,436,25,1,1192,315
patternCount-57,true,1.00,39,485,27,1,1631,525
patternCount-58,false,0.85,14295,445,14291,445,881416,834
patternCount-59,true,1.00,41,466,31,1,1744,316
patternCount-60,true,1.00,28,441,17,1,929,62
patternCount-61,true,1.00,31,435,23,1,1045,57
patternCount-62,true,1.00,30,489,18,1,991,99
patternCount-63,true,1.00,35,502,23,1,1318,232
patternCount-64,true,1.00,42,475,34,1,1744,505
patternCount-65,true,1.00,29,422,22,1,925,86
patternCount-66,true,1.00,41,502,32,1,1600,219
patternCount-67,true,1.00,1152,552,1143,35,75668,993
patternCount-68,true,1.00,2057,484,2048,62,134492,1453
patternCount-69,true,1.00,44,524,33,1,1795,704
patternCount-70,true,1.00,38,467,28,1,1557,303
patternCount-71,true,1.00,42,505,33,1,1629,150
patternCount-72,true,1.00,16657,554,16655,504,1056991,1442
patternCount-73,true,1.00,44,511,32,1,1815,516
patternCount-74,true,1.00,14466,475,14465,438,924416,1489
patternCount-75,true,1.00,143,463,133,4,8226,1168
patternCount-76,true,1.00,46,533,33,1,1973,423
patternCount-77,true,1.00,44,436,37,1,1226,250
patternCount-78,true,1.00,40,482,30,1,1714,278
patternCount-79,true,1.00,15819,528,15819,479,1132618,1676
patternCount-80,true,1.00,13255,481,13252,401,826907,473
patternCount-81,true,1.00,41,539,32,1,1662,252
patternCount-82,true,1.00,27,488,18,1,791,33
patternCount-83,true,1.00,28,383,20,1,1068,187
patternCount-84,true,1.00,35,433,25,1,1375,414
patternCount-85,true,1.00,39,502,31,1,1677,601
patternCount-86,true,1.00,111,459,100,3,6231,1001
patternCount-87,true,1.00,46,532,35,1,1834,333
patternCount-88,true,1.00,3842,482,3833,116,257950,1322
patternCount-89,true,1.00,32,448,26,1,1269,274
patternCount-90,true,1.00,36,484,26,1,1448,176
patternCount-91,true,1.00,4073,472,4062,122,192048,437
patternCount-92,true,1.00,33,497,19,1,1016,94
patternCount-93,true,1.00,12984,448,12979,392,805622,1516
patternCount-94,true,1.00,29,451,19,1,832,108
patternCount-95,true,1.00,30,439,20,1,1025,50
patternCount-96,true,1.00,852,368,845,26,55803,1684
patternCount-97,true,1.00,31,459,22,1,1138,203
patternCount-98,true,1.00,81,553,67,2,4154,575
patternCount-99,true,1.00,28,434,21,1,1015,217
patternCount-100,true,1.00,2760,528,2747,83,179766,1568
