NDW:0.0
TTFW:0.6
DFPT:2.0
DFPAP:3.0
DFPMP:1.0
SEARCH_STEPS:20.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternOccur-1,false,0.44,853,999,850,999,6318,4
patternOccur-2,false,0.15,53,63,53,63,572,5
patternOccur-3,false,0.17,458,999,451,999,3558,6
patternOccur-4,false,0.18,574,999,567,999,5216,8
patternOccur-5,false,0.16,218,148,217,148,1918,4
patternOccur-6,false,0.03,2,21,2,21,27,1
patternOccur-7,false,0.20,530,999,523,999,4481,3
patternOccur-8,false,0.45,1438,999,1433,999,11991,5
patternOccur-9,false,0.41,311,322,308,322,3220,3
patternOccur-10,false,0.17,337,999,333,999,2488,2
patternOccur-11,false,0.30,595,999,590,999,5055,2
patternOccur-12,false,0.16,133,168,133,168,1190,4
patternOccur-13,false,0.21,112,177,111,177,1129,4
patternOccur-14,false,0.09,302,999,293,999,2008,1
patternOccur-15,false,0.33,481,999,474,999,3873,5
patternOccur-16,false,0.30,690,999,680,999,6264,3
patternOccur-17,false,0.65,733,524,729,524,6737,8
patternOccur-18,false,0.49,668,999,657,999,5965,13
patternOccur-19,false,0.23,69,134,69,134,769,3
patternOccur-20,false,0.30,959,999,952,999,7247,5
patternOccur-21,false,0.28,307,273,304,273,2765,6
patternOccur-22,false,0.06,30,74,29,74,299,2
patternOccur-23,false,0.00,310,999,306,999,1978,0
patternOccur-24,false,0.30,597,999,591,999,4135,3
patternOccur-25,false,0.13,68,100,68,100,600,3
patternOccur-26,false,0.21,1023,999,1014,999,6948,5
patternOccur-27,false,0.36,274,198,272,198,2052,3
patternOccur-28,false,0.10,416,999,409,999,3539,2
patternOccur-29,false,0.40,836,420,835,420,7708,16
patternOccur-30,false,0.03,10,41,10,41,99,2
patternOccur-31,false,0.33,434,261,430,261,4169,8
patternOccur-32,false,0.04,324,999,314,999,2074,2
