NDW:0.0
TTFW:2.0
DFPT:2.0
DFPAP:3.0
DFPMP:0.0
SEARCH_STEPS:9.0
TIME_TO_FINISH:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
patternWeightCount-1,false,0.90,24134,856,24133,856,528040,644
patternWeightCount-2,true,1.00,12,764,7,1,135,27
patternWeightCount-3,true,1.00,1151,933,1145,40,20725,282
patternWeightCount-4,true,1.00,208,636,204,7,3837,222
patternWeightCount-5,true,1.00,1367,821,1362,43,25699,102
patternWeightCount-6,true,1.00,1108,944,1102,34,21456,301
patternWeightCount-7,true,1.00,16,826,11,12,174,14
patternWeightCount-8,true,1.00,895,847,889,51,14740,329
patternWeightCount-9,true,1.00,19,818,13,1,231,68
patternWeightCount-10,true,1.00,23,958,16,3,283,98
patternWeightCount-11,true,1.00,16,764,12,1,197,43
patternWeightCount-12,true,1.00,9316,854,9312,284,178760,208
patternWeightCount-13,true,1.00,4099,615,4096,125,81459,644
patternWeightCount-14,true,1.00,11,644,7,1,111,10
patternWeightCount-15,true,1.00,15,813,11,1,184,59
patternWeightCount-16,true,1.00,24905,972,24902,851,546343,472
patternWeightCount-17,true,1.00,61,853,55,13,1077,91
patternWeightCount-18,true,1.00,12,782,7,1,122,13
patternWeightCount-19,true,1.00,25,843,20,1,379,167
patternWeightCount-20,true,1.00,8717,421,8716,281,178919,689
patternWeightCount-21,true,1.00,16,808,10,1,180,56
patternWeightCount-22,true,1.00,4262,998,4256,141,86733,284
patternWeightCount-23,true,1.00,8180,973,8176,257,164752,568
patternWeightCount-24,true,1.00,22,829,16,1,316,74
patternWeightCount-25,true,1.00,13236,977,13232,455,269136,174
patternWeightCount-26,true,1.00,25,790,20,1,395,138
patternWeightCount-27,true,1.00,358,948,352,11,6689,308
patternWeightCount-28,true,1.00,22,926,16,1,308,103
patternWeightCount-29,true,1.00,11,655,6,1,101,22
patternWeightCount-30,true,1.00,26285,964,26285,875,513010,606
patternWeightCount-31,true,1.00,26,792,21,1,321,106
patternWeightCount-32,true,1.00,34,915,29,1,530,303
patternWeightCount-33,true,1.00,18,747,12,18,231,9
patternWeightCount-34,true,1.00,1780,689,1776,54,29510,340
patternWeightCount-35,true,1.00,1612,779,1607,49,19788,419
patternWeightCount-36,true,1.00,155,989,148,6,2657,111
patternWeightCount-37,true,1.00,18,692,13,14,243,7
patternWeightCount-38,true,1.00,27445,922,27444,890,543987,534
patternWeightCount-39,true,1.00,5451,828,5447,167,103572,115
patternWeightCount-40,true,1.00,15,848,10,1,179,27
patternWeightCount-41,true,1.00,12,729,8,1,138,14
patternWeightCount-42,true,1.00,19917,870,19916,637,368248,424
patternWeightCount-43,true,1.00,15,826,10,1,174,36
patternWeightCount-44,true,1.00,18,870,13,1,227,66
patternWeightCount-45,false,0.93,28517,986,28517,986,572385,380
patternWeightCount-46,false,0.96,21065,711,21065,711,416925,256
patternWeightCount-47,true,1.00,10,556,7,1,109,28
patternWeightCount-48,true,1.00,9,559,5,1,80,16
patternWeightCount-49,true,1.00,19,814,14,1,268,114
patternWeightCount-50,true,1.00,13,705,8,1,160,58
patternWeightCount-51,true,1.00,13,805,8,1,132,8
patternWeightCount-52,true,1.00,20,994,13,1,213,30
patternWeightCount-53,true,1.00,22812,842,22812,709,443159,568
patternWeightCount-54,true,1.00,9271,843,9268,321,181518,67
patternWeightCount-55,true,1.00,14,829,9,1,150,32
patternWeightCount-56,true,1.00,25,975,18,4,359,59
patternWeightCount-57,true,1.00,13,730,9,1,161,50
patternWeightCount-58,true,1.00,18,858,12,3,227,69
patternWeightCount-59,true,1.00,9246,753,9243,285,125797,44
patternWeightCount-60,true,1.00,33,926,28,3,510,111
patternWeightCount-61,false,0.02,7,30,7,30,183,7
patternWeightCount-62,true,1.00,21189,817,21188,735,434183,530
patternWeightCount-63,true,1.00,4829,961,4823,171,86576,601
patternWeightCount-64,true,1.00,20,856,14,1,271,154
patternWeightCount-65,true,1.00,21524,958,21522,661,395892,238
patternWeightCount-66,true,1.00,67,981,61,4,1135,164
patternWeightCount-67,true,1.00,14,838,9,1,182,38
patternWeightCount-68,true,1.00,12311,553,12310,380,154481,26
patternWeightCount-69,true,1.00,26,1007,20,1,360,193
patternWeightCount-70,true,1.00,12,685,7,2,123,12
patternWeightCount-71,true,1.00,15,870,9,1,173,45
